model,MAE,RMSE,R2,ROC_AUC
GradientBoostingRegressor,0.2745185324128062,0.3730460829037935,0.2869151011436468,0.8352923057808883
Lasso,0.2927968938337201,0.3780022120577318,0.26784176112438807,0.829556455161489
Ridge,0.2926284151235185,0.37843346372164965,0.2661702123318356,0.828492630881447
LinearRegression,0.2927245370726393,0.3785533071244536,0.26570535606224255,0.8282803837014874
RandomForestRegressor,0.2766631900207771,0.38549553630353134,0.2385261766520116,0.8148829275615905
ExtraTreesRegressor,0.27309289208800397,0.4022204041994373,0.17101920884182253,0.7971111088103285
