fold,threshold,accuracy,f1,precision,recall,roc_auc,pr_auc
1,0.6400000000000001,0.7973333333333333,0.6392405063291139,0.6066066066066066,0.6755852842809364,0.8421817681213407,0.6752562705779313
2,0.56,0.7715555555555556,0.6395511921458625,0.5507246376811594,0.7625418060200669,0.8472025395385749,0.6560058839035267
3,0.4800000000000001,0.7546666666666667,0.6387434554973822,0.524731182795699,0.8160535117056856,0.8486743543854819,0.6573606917348876
4,0.56,0.7857777777777778,0.6542324246771879,0.5728643216080402,0.7625418060200669,0.8513952885728862,0.6700478695642523
5,0.5000000000000001,0.7644444444444445,0.6471371504660453,0.5376106194690266,0.8127090301003345,0.8575781256326577,0.6867095758971513
