fold,threshold,accuracy,f1,precision,recall,roc_auc,pr_auc
1,0.54,0.7733333333333333,0.6423562412342216,0.5531400966183575,0.7658862876254181,0.8362337735956011,0.661733797999663
2,0.5200000000000001,0.7591111111111111,0.6381842456608812,0.5311111111111111,0.7993311036789298,0.8432142654692398,0.642773132162004
3,0.5800000000000001,0.7786666666666666,0.6332842415316642,0.5657894736842105,0.7190635451505016,0.8476459060467902,0.6503034432626652
4,0.5800000000000001,0.792,0.6578947368421053,0.5844155844155844,0.7525083612040134,0.8531505340643144,0.6818446174982843
5,0.5000000000000001,0.7591111111111111,0.6457516339869281,0.5300429184549357,0.8260869565217391,0.8553572440823731,0.6832849930338089
